Date,Close
18/06/2017,41
21/06/2017,45
25/06/2017,16
28/06/2017,21
02/07/2017,32
05/07/2017,34
09/07/2017,38
12/07/2017,46
16/07/2017,5
19/07/2017,24
23/07/2017,28
26/07/2017,34
30/07/2017,36
02/08/2017,43
06/08/2017,4
09/08/2017,5
13/08/2017,11
16/08/2017,15
20/08/2017,25
23/08/2017,47
27/08/2017,3
30/08/2017,6
03/09/2017,9
06/09/2017,36
10/09/2017,47
13/09/2017,55
17/09/2017,5
20/09/2017,20
24/09/2017,23
27/09/2017,26
01/10/2017,32
04/10/2017,46
08/10/2017,3
11/10/2017,7
15/10/2017,13
18/10/2017,47
22/10/2017,53
25/10/2017,55
29/10/2017,1
01/11/2017,2
05/11/2017,22
08/11/2017,23
12/11/2017,28
15/11/2017,52
19/11/2017,5
22/11/2017,7
26/11/2017,18
29/11/2017,24
03/12/2017,49
06/12/2017,52
10/12/2017,13
13/12/2017,15
17/12/2017,24
20/12/2017,45
24/12/2017,47
27/12/2017,55
31/12/2017,6
03/01/2018,7
07/01/2018,11
10/01/2018,29
14/01/2018,33
17/01/2018,39
21/01/2018,1
24/01/2018,10
28/01/2018,17
31/01/2018,20
04/02/2018,34
07/02/2018,45
11/02/2018,15
14/02/2018,17
18/02/2018,19
21/02/2018,22
25/02/2018,35
28/02/2018,37
04/03/2018,1
07/03/2018,19
11/03/2018,33
14/03/2018,47
18/03/2018,50
21/03/2018,54
25/03/2018,2
28/03/2018,10
01/04/2018,25
04/04/2018,32
08/04/2018,41
11/04/2018,52
15/04/2018,3
18/04/2018,6
22/04/2018,20
25/04/2018,23
29/04/2018,34
02/05/2018,46
06/05/2018,3
09/05/2018,20
13/05/2018,32
16/05/2018,35
20/05/2018,42
23/05/2018,52
27/05/2018,8
30/05/2018,14
03/06/2018,20
06/06/2018,25
10/06/2018,34
13/06/2018,46
17/06/2018,7
20/06/2018,22
24/06/2018,43
27/06/2018,45
01/07/2018,47
04/07/2018,55
08/07/2018,5
11/07/2018,7
15/07/2018,8
18/07/2018,17
22/07/2018,21
25/07/2018,23
29/07/2018,14
01/08/2018,16
05/08/2018,24
08/08/2018,30
12/08/2018,33
15/08/2018,39
19/08/2018,11
22/08/2018,18
26/08/2018,33
29/08/2018,41
02/09/2018,53
05/09/2018,54
09/09/2018,21
12/09/2018,24
16/09/2018,32
19/09/2018,36
23/09/2018,41
26/09/2018,49
30/09/2018,9
03/10/2018,12
07/10/2018,28
10/10/2018,47
14/10/2018,51
17/10/2018,53
21/10/2018,3
24/10/2018,5
28/10/2018,9
31/10/2018,42
04/11/2018,44
07/11/2018,48
11/11/2018,6
14/11/2018,12
18/11/2018,29
21/11/2018,37
25/11/2018,51
28/11/2018,53
02/12/2018,18
05/12/2018,20
09/12/2018,29
12/12/2018,44
16/12/2018,46
19/12/2018,52
23/12/2018,4
26/12/2018,31
30/12/2018,33
02/01/2019,34
06/01/2019,50
09/01/2019,54
13/01/2019,6
16/01/2019,16
20/01/2019,30
23/01/2019,36
27/01/2019,43
30/01/2019,56
03/02/2019,11
06/02/2019,19
10/02/2019,34
13/02/2019,36
17/02/2019,43
20/02/2019,56
24/02/2019,8
27/02/2019,27
03/03/2019,31
06/03/2019,37
10/03/2019,43
13/03/2019,45
17/03/2019,9
20/03/2019,19
24/03/2019,26
27/03/2019,41
31/03/2019,51
03/04/2019,52
07/04/2019,1
10/04/2019,11
14/04/2019,26
17/04/2019,31
21/04/2019,52
24/04/2019,55
28/04/2019,4
01/05/2019,6
05/05/2019,22
08/05/2019,39
12/05/2019,46
15/05/2019,53
19/05/2019,1
22/05/2019,16
26/05/2019,30
29/05/2019,31
02/06/2019,34
05/06/2019,43
09/06/2019,4
12/06/2019,5
16/06/2019,14
19/06/2019,23
23/06/2019,26
26/06/2019,47
30/06/2019,10
03/07/2019,28
07/07/2019,32
10/07/2019,35
14/07/2019,44
17/07/2019,48
21/07/2019,2
24/07/2019,8
28/07/2019,24
31/07/2019,29
04/08/2019,41
07/08/2019,46
11/08/2019,2
14/08/2019,18
18/08/2019,23
21/08/2019,24
25/08/2019,32
28/08/2019,54
01/09/2019,6
04/09/2019,10
08/09/2019,17
11/09/2019,21
15/09/2019,30
18/09/2019,39
22/09/2019,20
25/09/2019,25
29/09/2019,29
02/10/2019,34
06/10/2019,44
09/10/2019,54
13/10/2019,25
16/10/2019,28
20/10/2019,29
23/10/2019,43
27/10/2019,47
30/10/2019,49
03/11/2019,4
06/11/2019,15
10/11/2019,22
13/11/2019,28
